0, 0, 6381, 12346, -1, -1, -1, -1
1, 0.112122, 1173, 2346, -1, -1, -1, -1
2, 0.0171693, 1776, 9997, -1, -1, -1, -1
3, 4.4688, 130364, 712950, 1.40634e+10, 187535, 2, -1
7, 7.40512, 4373, 26134, 463984, 111.522, -1, -1
3, 0.117596, 4922, 29100, 470977, 176.498, 0, -1
6, 0.0274431, 9444, 52073, 470977, 105, -1, -1
7, 0.354619, 4719, 26778, 127412, 41.7407, -1, -1
8, 0.186325, 4719, 24757, 7566.6, 16.2985, -1, -1
9, 0.0322213, 4719, 24757, 4526.13, 12.8439, -1, -1
6, 0.0189775, 6905, 34620, 4526.13, 10.4507, -1, -1
7, 0.298007, 3980, 20650, 362.044, 9.13109, -1, -1
8, 0.0903361, 3980, 20433, 362.044, 8.6734, -1, -1
9, 0.0238504, 3980, 20433, 362.044, 8.26225, -1, -1
6, 0.0161883, 5831, 28506, 362.044, 7.13829, -1, -1
7, 0.169327, 3948, 20307, 362.044, 8.09007, -1, -1
8, 0.068034, 3948, 20257, 362.044, 7.95178, -1, -1
9, 0.0231535, 3948, 20257, 362.044, 7.81655, -1, -1
6, 0.0268466, 9349, 47340, 275.857, 6.74769, -1, -1
7, 0.273076, 5485, 28647, 58.7136, 6.50641, -1, -1
8, 0.200085, 5485, 28588, 56.9877, 6.27051, -1, -1
9, 0.0300577, 5485, 28588, 47.0192, 6.03773, -1, -1
6, 0.0208314, 7811, 39163, 47.0192, 5.56774, -1, -1
7, 0.179749, 5519, 28787, 47.0192, 5.97417, -1, -1
8, 0.1092, 5519, 28780, 47.0192, 5.93462, -1, -1
9, 0.027424, 5519, 28780, 47.0192, 5.82854, -1, -1
6, 0.0404522, 14338, 74250, 47.0192, 5.59758, -1, -1
7, 0.446616, 8351, 45251, 31.5587, 5.1607, -1, -1
8, 0.366844, 8351, 44966, 31.5587, 4.896, -1, -1
9, 0.0411563, 8351, 44966, 30.4705, 4.66712, -1, -1
6, 0.0259787, 10955, 56790, 30.4705, 4.61728, -1, -1
7, 0.260001, 8309, 44745, 23.9781, 4.64356, -1, -1
8, 0.176653, 8309, 44671, 23.9781, 4.57675, -1, -1
9, 0.0426895, 8309, 44671, 22.0081, 4.48789, -1, -1
6, 0.0254597, 10317, 53515, 21.1292, 4.45855, -1, -1
7, 0.207934, 8302, 44589, 16.0161, 4.49503, -1, -1
8, 0.154994, 8302, 44587, 16.0161, 4.47082, -1, -1
9, 0.0412048, 8302, 44587, 16.0161, 4.42823, -1, -1
6, 0.0251699, 10134, 52635, 18.5891, 4.40692, -1, -1
7, 0.188328, 8323, 44648, 17.297, 4.43692, -1, -1
8, 0.143464, 8323, 44637, 17.297, 4.42601, -1, -1
9, 0.0398402, 8323, 44637, 15.2188, 4.40186, -1, -1
6, 0.0250098, 10010, 51956, 15.2188, 4.3839, -1, -1
7, 0.189697, 8322, 44655, 15.2188, 4.40658, -1, -1
8, 0.13973, 8322, 44647, 15.2188, 4.40138, -1, -1
9, 0.0396482, 8322, 44647, 15.2188, 4.38964, -1, -1
6, 0.0660868, 23157, 121917, 16.6651, 4.61833, -1, -1
7, 0.751856, 13884, 76430, 13.0157, 4.23083, -1, -1
8, 0.615242, 13884, 76231, 13.0157, 4.12362, -1, -1
9, 0.0685725, 13884, 76231, 10.6687, 3.94058, -1, -1
6, 0.0429833, 17981, 95284, 11.1184, 4.03221, -1, -1
7, 0.404895, 13765, 75835, 10.6687, 3.92723, -1, -1
8, 0.283607, 13765, 75760, 10.6687, 3.90613, -1, -1
9, 0.0653274, 13765, 75760, 10.6687, 3.83632, -1, -1
6, 0.0346612, 15113, 81523, 11.5013, 3.86595, -1, -1
7, 0.445208, 13616, 74982, 7.74988, 3.83776, -1, -1
8, 0.239328, 13616, 74947, 7.18408, 3.83276, -1, -1
9, 0.0637387, 13616, 74947, 7.10146, 3.81017, -1, -1
7, 0.437417, 13520, 74423, 7.10146, 3.81009, -1, -1
4, 16.111, 13520, 74423, 7.10146, 3.81009, -1, -1
5, 1.87574, 13505, 16813, 7.10146, 4.51131, -1, -1
-1, 22.7024, 13505, 16813, 7.10146, 4.51131, 0, 276
